[n: 22, f: 0, c: 9] p 307 | f 8
[n: 11, f: 4, c: 6] p 59 | f 2
[n: 11, f: 5, c: 6] p 66 | f 3
[n: 11, f: 0, c: 6] p 13 | f 1
[n: 17, f: 0, c: 10] p 179 | f 5
[n: 11, f: 1, c: 6] p 28 | f 2
[n: 11, f: 2, c: 6] p 39 | f 2
[n: 11, f: 3, c: 6] p 50 | f 2
[n: 14, f: 3, c: 12] p 266 | f 12
[n: 11, f: 4, c: 6] p 59 | f 2
[n: 18, f: 4, c: 7] p 503 | f 10
[n: 11, f: 5, c: 6] p 66 | f 3
[n: 11, f: 0, c: 6] p 14 | f 1
[n: 11, f: 1, c: 6] p 28 | f 2
[n: 11, f: 2, c: 6] p 39 | f 2
[n: 17, f: 1, c: 10] p 363 | f 10
[n: 11, f: 3, c: 6] p 51 | f 2
[n: 11, f: 4, c: 6] p 60 | f 2
[n: 22, f: 1, c: 9] p 578 | f 14
[n: 14, f: 4, c: 12] p 327 | f 13
[n: 11, f: 5, c: 6] p 67 | f 2
[n: 11, f: 0, c: 6] p 14 | f 1
[n: 20, f: 7, c: 18] p 3161 | f 58
[n: 11, f: 1, c: 6] p 29 | f 2
[n: 11, f: 2, c: 6] p 40 | f 2
[n: 11, f: 3, c: 6] p 49 | f 2
[n: 11, f: 4, c: 6] p 56 | f 2
[n: 18, f: 5, c: 7] p 551 | f 12
[n: 11, f: 5, c: 6] p 65 | f 2
[n: 25, f: 3, c: 8] p 2002 | f 23
[n: 11, f: 0, c: 6] p 14 | f 1
[n: 11, f: 1, c: 6] p 29 | f 2
[n: 14, f: 5, c: 12] p 387 | f 14
[n: 17, f: 2, c: 10] p 507 | f 13
[n: 11, f: 2, c: 6] p 41 | f 2
[n: 11, f: 3, c: 6] p 52 | f 2
[n: 11, f: 4, c: 6] p 60 | f 2
[n: 11, f: 5, c: 6] p 67 | f 3
[n: 11, f: 0, c: 8] p 17 | f 1
[n: 11, f: 1, c: 8] p 43 | f 4
[n: 11, f: 2, c: 8] p 63 | f 3
[n: 14, f: 6, c: 12] p 445 | f 12
[n: 11, f: 3, c: 8] p 83 | f 4
[n: 18, f: 6, c: 7] p 584 | f 11
[n: 22, f: 2, c: 9] p 884 | f 18
[n: 11, f: 4, c: 8] p 97 | f 3
[n: 18, f: 0, c: 7] p 85 | f 4
[n: 17, f: 3, c: 10] p 625 | f 14
[n: 11, f: 5, c: 8] p 114 | f 3
[n: 11, f: 6, c: 8] p 122 | f 3
[n: 18, f: 1, c: 7] p 195 | f 7
[n: 11, f: 7, c: 8] p 135 | f 4
[n: 14, f: 7, c: 12] p 499 | f 11
[n: 11, f: 0, c: 8] p 17 | f 1
[n: 11, f: 1, c: 8] p 42 | f 3
[n: 11, f: 2, c: 8] p 63 | f 3
[n: 18, f: 2, c: 7] p 318 | f 8
[n: 11, f: 3, c: 8] p 81 | f 4
[n: 11, f: 4, c: 8] p 95 | f 3
[n: 17, f: 4, c: 10] p 712 | f 14
[n: 11, f: 5, c: 8] p 109 | f 3
[n: 14, f: 8, c: 12] p 553 | f 10
[n: 11, f: 6, c: 8] p 122 | f 3
[n: 18, f: 3, c: 7] p 428 | f 11
[n: 11, f: 7, c: 8] p 137 | f 3
[n: 11, f: 0, c: 8] p 16 | f 1
[n: 11, f: 1, c: 8] p 41 | f 4
[n: 22, f: 3, c: 9] p 1278 | f 20
[n: 11, f: 2, c: 8] p 62 | f 3
[n: 11, f: 3, c: 8] p 78 | f 3
[n: 11, f: 4, c: 8] p 93 | f 3
[n: 18, f: 4, c: 7] p 506 | f 10
[n: 11, f: 5, c: 8] p 108 | f 3
